Place;Date;Page;Sector;Country Code;Year;Latitude;Longitude;Country;Region;Region District
Betliar;1994-01-01;41;D;SK;1994;48,7032085;20,5055594;Slovensko;Košický kraj;okres Rožňava
Bezděkov (Klatovy);1995-07-31;16;D;CZ;1995;#N/A;#N/A;#N/A;#N/A;#N/A
Bezděkov (Plzeň-jih);;17;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bezděkov (Tachov);;16;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bezděz;;9;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bezdružice;;6;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bezměrov;;22;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bezno;;9;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bezvěrov;;6;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bežovce;;44;C;SK;1899;48,6315482;22,1536951;Slovensko;Košický kraj;okres Sobrance
Bidovce;2020-07-29;43;A;SK;2020;48,736309;21,4386284;Slovensko;Košický kraj;okres Košice - okolie
Biel;;44;C;SK;1899;48,4085488;22,0563856;Slovensko;Košický kraj;okres Trebišov
Bielovce;1994-01-01;49;A;SK;1994;47,9950648;18,7739458;Slovensko;Nitriansky kraj;okres Levice
Biely Potok;1994-01-01;39;B;SK;1994;49,0429;19,30363;Slovakia;Žilinský kraj;okres Ružomberok
Bijacovce;;42;A;SK;1899;49,0227157;20,7970117;Slovensko;Prešovský kraj;okres Levoča
Bílá;2004-02-04;24;D;CZ;2004;#N/A;#N/A;#N/A;#N/A;#N/A
Bílá Lhota;;22;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bílá Třemešná;;10;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bílá Voda (Šumperk);2022-04-15;12;A;CZ;2022;#N/A;#N/A;#N/A;#N/A;#N/A
Bílá Voda (Ústí nad Orlicí);;12;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bílichov;;7;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bílina;;7;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bílovec;2003-10-03;23;B;CZ;2003;#N/A;#N/A;#N/A;#N/A;#N/A
Bílovice;;37;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bílovice nad Svitavou;2001-06-16;22;C;CZ;2001;#N/A;#N/A;#N/A;#N/A;#N/A
Bílsko;;22;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bílý Kostel nad Nisou;;3;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bílý Potok (Liberec);;3;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bílý Potok (Šumperk);2022-04-15;12;A;CZ;2022;#N/A;#N/A;#N/A;#N/A;#N/A
Bíňa;1994-01-01;48;D;SK;1994;47,9211342;18,6421132;Slovensko;Nitriansky kraj;okres Nové Zámky
Biskupice (Gottwaldov);2017-09-01;37;B;CZ;2017;#N/A;#N/A;#N/A;#N/A;#N/A
Biskupice (Lučenec);1994-01-01;50;B;SK;1994;48,2507467;19,8346907;Slovensko;Banskobystrický kraj;okres Lučenec
Biskupice (Svitavy);;22;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Biskupice (Třebíč);;35;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bitarová;;24;D;SK;1899;49,2077671;18,6713396;Slovensko;Žilinský kraj;okres Žilina
Bítov;2004-05-22;34;B;CZ;2004;#N/A;#N/A;#N/A;#N/A;#N/A
Bítovany;;20;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bítovčice;;20;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bitozeves;;7;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Blahová;2019-06-02;47;A;SK;2019;48,0860549;17,5384211;Slovensko;Trnavský kraj;okres Dunajská Streda
Blansko;;21;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Blatce;;9;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Blatec;;22;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Blatná;;17;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Blatná na Ostrove;2025-08-02;47;A;SK;2025;48,0060487;17,440189;Slovensko;Trnavský kraj;okres Dunajská Streda
Blatná Polianka;;44;A;SK;1899;48,6924214;22,1053097;Slovensko;Košický kraj;okres Sobrance
Blatné;2018-07-01;47;A;SK;2018;48,2660661;17,4188909;Slovensko;Bratislavský kraj;okres Senec
Blatnica;1994-01-01;39;A;SK;1994;48,9385282;18,9260491;Slovensko;Žilinský kraj;okres Martin
Blatnice (Hodonín);;37;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Blatnice (Plzeň-sever);;16;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Blatno (Chomutov);;7;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Blatno (Louny);;7;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Blazice;;23;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Blažim;;7;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Blažovice;;22;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Blhovce;2020-05-02;50;B;SK;2020;48,275354;19,9540267;Slovensko;Banskobystrický kraj;okres Rimavská Sobota
Blížejov;;16;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Blíževedly;;8;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Blížkovice;;34;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Blovice;1995-08-09;17;A;CZ;1995;#N/A;#N/A;#N/A;#N/A;#N/A
Blšany;;7;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Blučina;;35;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bludov;;12;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bobnice;;9;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bobot;2018-07-01;38;A;SK;2018;48,8063918;18,1896039;Slovensko;Trenčiansky kraj;okres Trenčín
Bobrov;1994-01-01;26;C;SK;1994;49,4278559;19,5437515;Slovensko;Žilinský kraj;okres Námestovo
Bobrová;;21;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bobrovček;1994-01-01;26;C;SK;1994;49,1427756;19,6016451;Slovensko;Žilinský kraj;okres Liptovský Mikuláš
Bobrovec;1994-01-01;40;A;SK;1994;49,118459;19,6137205;Slovensko;Žilinský kraj;okres Liptovský Mikuláš
Bodorová;1994-01-01;39;A;SK;1994;48,9043651;18,849473;Slovensko;Žilinský kraj;okres Turčianske Teplice
Bodza;1994-01-01;47;D;SK;1994;47,8335306;17,8288064;Slovensko;Nitriansky kraj;okres Komárno
Bogliarka;2020-08-08;28;D;SK;2020;49,2783896;21,152164;Slovensko;Prešovský kraj;okres Bardejov
Boharyně;;10;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bohatá;1994-01-01;48;C;SK;1994;47,8877086;18,2019477;Slovensko;Nitriansky kraj;okres Komárno
Bohdalec;;21;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bohdalice;;22;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bohdalín;;19;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bohdalov;;20;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bohdaneč;;10;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bohdanovce;1994-01-01;43;C;SK;1994;48,6569436;21,3997111;Slovensko;Košický kraj;okres Košice - okolie
